"state_name","no_of_facilities"
"Lagos","2798"
"Katsina","2296"
"Benue","2284"
"Niger","2201"
"Oyo","2045"
"Ogun","1993"
"Anambra","1867"
"Imo","1779"
"Osun","1729"
"Kano","1723"
"Kogi","1644"
"Plateau","1643"
"Adamawa","1561"
"Kaduna","1545"
"Cross River","1522"
"Bauchi","1468"
"Taraba","1464"
"Enugu","1457"
"Abia","1321"
"Ebonyi","1243"
"Nasarawa","1207"
"Kebbi","1207"
"Kwara","1097"
"Ondo","1096"
"Edo","1069"
"Delta","1059"
"Sokoto","937"
"Akwa Ibom","934"
"Zamfara","928"
"Jigawa","904"
"Gombe","897"
"Borno","804"
"Rivers","791"
"Ekiti","772"
"Yobe","663"
"FCT","652"
"Bayelsa","422"
