"state_name","total_facilities","total_population","facilities_per_100k","service_tier"
"Anambra","498","5527809","9","Average"
"Enugu","341","4411119","8","Average"
"Ogun","366","5217716","7","Average"
"Oyo","585","7840864","7","Average"
"Kwara","191","3192893","6","Average"
"Imo","350","5408756","6","Average"
"Lagos","677","12550598","5","Average"
"Abia","178","3727347","5","Critical"
"Cross River","155","3866269","4","Critical"
"Kogi","164","4473490","4","Critical"
"Gombe","115","3256962","4","Critical"
"Ekiti","120","3270798","4","Critical"
"Bayelsa","88","2277961","4","Critical"
"FCT","108","3564126","3","Critical"
"Edo","137","4235595","3","Critical"
"Akwa Ibom","190","5482177","3","Critical"
"Jigawa","161","5828163","3","Critical"
"Ebonyi","92","2880383","3","Critical"
"Delta","190","5663362","3","Critical"
"Kaduna","129","8252366","2","Highly Critical"
"Plateau","103","4200442","2","Critical"
"Osun","97","4705589","2","Critical"
"Ondo","96","4671695","2","Critical"
"Rivers","116","7303924","2","Highly Critical"
"Benue","137","5741815","2","Critical"
"Nasarawa","50","2523395","2","Highly Critical"
"Zamfara","37","4515427","1","Highly Critical"
"Niger","83","5556247","1","Highly Critical"
"Sokoto","40","4998090","1","Highly Critical"
"Borno","78","5860183","1","Highly Critical"
"Taraba","43","3066834","1","Highly Critical"
"Kano","139","13076892","1","Highly Critical"
"Yobe","28","3294137","1","Highly Critical"
"Bauchi","63","6537314","1","Highly Critical"
"Katsina","46","7831319","1","Highly Critical"
"Adamawa","54","4248436","1","Highly Critical"
"Kebbi","62","4440050","1","Highly Critical"
