"state_name","total_public_facilities","total_private_facilities","private_percentage","Equity_Risk"
"Lagos","627","1979","71","high_equity_risk"
"Oyo","905","862","42","moderate_equity_risk"
"Ogun","839","784","39","low_equity_risk"
"Ekiti","481","280","36","low_equity_risk"
"Anambra","876","681","36","low_equity_risk"
"Enugu","796","493","34","low_equity_risk"
"Imo","857","575","32","low_equity_risk"
"Benue","1436","710","31","low_equity_risk"
"FCT","387","199","31","low_equity_risk"
"Abia","853","408","31","low_equity_risk"
"Kwara","755","327","30","low_equity_risk"
"Ebonyi","736","345","28","low_equity_risk"
"Plateau","1152","443","27","low_equity_risk"
"Edo","665","281","26","low_equity_risk"
"Osun","1155","444","26","low_equity_risk"
"Delta","518","251","24","low_equity_risk"
"Kaduna","1181","340","22","low_equity_risk"
"Akwa Ibom","655","165","18","low_equity_risk"
"Nasarawa","852","204","17","low_equity_risk"
"Kogi","1372","253","15","low_equity_risk"
"Taraba","1206","225","15","low_equity_risk"
"Kano","1493","221","13","low_equity_risk"
"Ondo","825","130","12","low_equity_risk"
"Cross River","1221","180","12","low_equity_risk"
"Rivers","445","93","12","low_equity_risk"
"Bayelsa","284","46","11","low_equity_risk"
"Gombe","723","102","11","low_equity_risk"
"Niger","1639","207","9","low_equity_risk"
"Borno","665","65","8","low_equity_risk"
"Adamawa","1232","114","7","low_equity_risk"
"Bauchi","1329","99","7","low_equity_risk"
"Katsina","2195","84","4","low_equity_risk"
"Zamfara","883","37","4","low_equity_risk"
"Yobe","641","20","3","low_equity_risk"
"Sokoto","887","27","3","low_equity_risk"
"Kebbi","1153","28","2","low_equity_risk"
"Jigawa","761","14","2","low_equity_risk"
