"disease","indicator_code","indicator_name","year","current_value","previous_year_value","value_change","percentage_change"
"Malaria","MALARIA_CONF_CASES","Number of confirmed malaria cases",2015,"8068583",NULL,NULL,NULL
"Malaria","MALARIA_CONF_CASES","Number of confirmed malaria cases",2016,"13598282","8068583","5529699","69"
"Malaria","MALARIA_CONF_CASES","Number of confirmed malaria cases",2017,"13087878","13598282","-510404","-4"
"Malaria","MALARIA_CONF_CASES","Number of confirmed malaria cases",2018,"14548024","13087878","1460146","11"
"Malaria","MALARIA_CONF_CASES","Number of confirmed malaria cases",2019,"19806915","14548024","5258891","36"
"Malaria","MALARIA_CONF_CASES","Number of confirmed malaria cases",2020,"18325240","19806915","-1481675","-7"
"Malaria","MALARIA_CONF_CASES","Number of confirmed malaria cases",2021,"21325186","18325240","2999946","16"
"Malaria","MALARIA_CONF_CASES","Number of confirmed malaria cases",2022,"23050405","21325186","1725219","8"
"Malaria","MALARIA_CONF_CASES","Number of confirmed malaria cases",2023,"24098323","23050405","1047918","5"
"Malaria","MALARIA_CONF_CASES","Number of confirmed malaria cases",2024,"22683496","24098323","-1414827","-6"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2000,"402",NULL,NULL,NULL
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2001,"394","402","-8","-2"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2002,"382","394","-12","-3"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2003,"382","382","0","0"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2004,"390","382","8","2"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2005,"396","390","6","2"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2006,"399","396","3","1"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2007,"401","399","2","1"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2008,"402","401","1","0"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2009,"390","402","-12","-3"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2010,"363","390","-27","-7"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2011,"340","363","-23","-6"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2012,"316","340","-24","-7"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2013,"298","316","-18","-6"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2014,"288","298","-10","-3"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2015,"284","288","-4","-1"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2016,"285","284","1","0"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2017,"289","285","4","1"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2018,"291","289","2","1"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2019,"293","291","2","1"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2020,"304","293","11","4"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2021,"299","304","-5","-2"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2022,"299","299","0","0"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2023,"299","299","0","0"
"Malaria","MALARIA_EST_INCIDENCE","Estimated malaria incidence (per 1000 population at risk)",2024,"294","299","-5","-2"
