"disease","indicator_code","indicator_name","year","current_value","previous_year_value","value_change","percentage_change"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2000,"219",NULL,NULL,NULL
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2001,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2002,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2003,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2004,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2005,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2006,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2007,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2008,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2009,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2010,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2011,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2012,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2013,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2014,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2015,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2016,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2017,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2018,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2019,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2020,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2021,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2022,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2023,"219","219","0","0"
"TB","MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)",2024,"219","219","0","0"
"TB","TB_1","Tuberculosis treatment coverage",2000,"9",NULL,NULL,NULL
"TB","TB_1","Tuberculosis treatment coverage",2001,"16","9","7","78"
"TB","TB_1","Tuberculosis treatment coverage",2002,"13","16","-3","-19"
"TB","TB_1","Tuberculosis treatment coverage",2003,"15","13","2","15"
"TB","TB_1","Tuberculosis treatment coverage",2004,"19","15","4","27"
"TB","TB_1","Tuberculosis treatment coverage",2005,"20","19","1","5"
"TB","TB_1","Tuberculosis treatment coverage",2006,"22","20","2","10"
"TB","TB_1","Tuberculosis treatment coverage",2007,"25","22","3","14"
"TB","TB_1","Tuberculosis treatment coverage",2008,"25","25","0","0"
"TB","TB_1","Tuberculosis treatment coverage",2009,"25","25","0","0"
"TB","TB_1","Tuberculosis treatment coverage",2010,"23","25","-2","-8"
"TB","TB_1","Tuberculosis treatment coverage",2011,"23","23","0","0"
"TB","TB_1","Tuberculosis treatment coverage",2012,"24","23","1","4"
"TB","TB_1","Tuberculosis treatment coverage",2013,"24","24","0","0"
"TB","TB_1","Tuberculosis treatment coverage",2014,"21","24","-3","-13"
"TB","TB_1","Tuberculosis treatment coverage",2015,"21","21","0","0"
"TB","TB_1","Tuberculosis treatment coverage",2016,"23","21","2","10"
"TB","TB_1","Tuberculosis treatment coverage",2017,"23","23","0","0"
"TB","TB_1","Tuberculosis treatment coverage",2018,"23","23","0","0"
"TB","TB_1","Tuberculosis treatment coverage",2019,"26","23","3","13"
"TB","TB_1","Tuberculosis treatment coverage",2020,"29","26","3","12"
"TB","TB_1","Tuberculosis treatment coverage",2021,"43","29","14","48"
"TB","TB_1","Tuberculosis treatment coverage",2022,"58","43","15","35"
"TB","TB_1","Tuberculosis treatment coverage",2023,"74","58","16","28"
"TB","TB_1","Tuberculosis treatment coverage",2024,"79","74","5","7"
