"state_name","hips_score","priority_rank","investment_priority"
"Kano","89.38","1","Critical"
"Plateau","86.43","2","Critical"
"Benue","86.43","2","Critical"
"Kaduna","85.71","4","Critical"
"Bauchi","83.53","5","Critical"
"Niger","83.17","6","Critical"
"Taraba","82.81","7","Critical"
"Adamawa","81.70","8","Critical"
"Ondo","81.69","9","Critical"
"Osun","80.94","10","Critical"
"Rivers","80.94","10","Critical"
"Kebbi","80.23","12","Critical"
"FCT","80.18","13","Critical"
"Akwa Ibom","80.18","13","Critical"
"Katsina","79.51","15","Critical"
"Yobe","78.04","16","Critical"
"Nasarawa","78.03","17","Critical"
"Edo","77.99","18","Critical"
"Ebonyi","77.99","18","Critical"
"Zamfara","77.32","20","Critical"
"Sokoto","75.85","21","Critical"
"Borno","75.49","22","Critical"
"Ekiti","75.40","23","Critical"
"Lagos","75.00","24","Critical"
"Abia","73.89","25","High"
"Delta","72.86","26","High"
"Cross River","71.74","27","High"
"Kogi","69.55","28","High"
"Imo","66.56","29","High"
"Bayelsa","65.14","30","High"
"Kwara","61.43","31","High"
"Oyo","61.39","32","High"
"Jigawa","57.50","33","High"
"Gombe","56.38","34","High"
"Enugu","51.12","35","Moderate"
"Ogun","47.14","36","Moderate"
"Anambra","27.81","37","Stable"
